Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Family_Size,Sex_encoded,Embarked_encoded,Title_encoded,Age_Group_encoded,Fare_Group_encoded
3,-0.5202689419668987,1,0,-0.7284216955778409,0,0.08445083931801861,1,2,2,0,1
1,0.6943335868960581,1,0,2.347915324860686,1,0.08445083931801861,0,0,3,2,3
3,-0.2166183097511595,0,0,-0.6959928267112353,0,-0.5363369093530302,0,2,1,0,2
1,0.46659561273425365,1,0,1.4743392489167653,1,0.08445083931801861,0,2,3,0,3
3,0.46659561273425365,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,0,0,-0.6703716181681826,0,-0.5363369093530302,1,1,2,0,2
1,1.9089361157590148,0,0,1.4148863226613217,1,-0.5363369093530302,1,2,2,2,3
3,-2.0385221030455947,3,1,-0.06423041842107033,0,1.9468140853311653,1,2,0,1,0
3,-0.1407056516972247,0,2,-0.5418572119190425,0,0.7052385879890675,0,2,3,0,2
2,-1.127570206398377,1,0,0.36795272017183206,0,0.08445083931801861,0,0,3,4,0
3,-1.8866967869377251,1,1,-0.2744175314453648,1,0.7052385879890675,0,2,1,1,0
1,2.212586747974754,0,0,0.19880374016361824,1,-0.5363369093530302,0,2,1,2,0
3,-0.6720942580747683,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,0.7702462449499928,1,5,0.4258058222298562,0,3.188389582673263,1,2,2,2,3
3,-1.127570206398377,0,0,-0.6993942547345772,0,-0.5363369093530302,0,2,1,4,1
2,1.9848487738129497,0,0,-0.3080474695292519,0,-0.5363369093530302,0,2,3,2,0
3,-2.0385221030455947,4,1,0.32251386954363154,0,2.567601834002214,1,1,0,1,0
2,0.011119664410644874,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,0,2
3,0.16294498051851447,1,0,-0.21196193214671727,0,0.08445083931801861,0,2,3,0,0
3,-0.3684436258590291,0,0,-0.7296227647951226,0,-0.5363369093530302,0,0,3,0,1
2,0.46659561273425365,0,0,0.17238021738342119,0,-0.5363369093530302,1,2,2,0,0
2,0.3906829546803189,0,0,-0.4521757756030538,1,-0.5363369093530302,1,2,2,0,2
3,-1.0516575483444424,0,0,-0.6909867702136053,0,-0.5363369093530302,0,1,1,4,2
1,-0.06479299364328993,0,0,0.6287865199504606,1,-0.5363369093530302,1,2,2,0,3
3,-1.5830461547219858,3,1,-0.06423041842107033,0,1.9468140853311653,0,2,1,1,0
3,0.6943335868960581,1,5,0.4312106337076238,0,3.188389582673263,0,2,3,2,3
3,-0.3684436258590291,0,0,-0.7296227647951226,0,-0.5363369093530302,1,0,2,0,1
3,-0.3684436258590291,0,0,-0.6981931855172954,0,-0.5363369093530302,0,1,1,0,1
3,-0.3684436258590291,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
1,0.8461589030039276,0,0,0.255052213747354,0,-0.5363369093530302,1,0,4,2,0
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
2,2.819888012406232,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,3,2
1,-0.06479299364328993,1,0,2.870980968986859,0,0.08445083931801861,1,0,2,0,3
1,0.9979842191117972,1,0,1.4214922033563713,0,0.08445083931801861,1,2,2,2,3
3,-0.3684436258590291,0,0,-0.7294209851666192,0,-0.5363369093530302,1,0,2,0,1
3,-0.5961816000208335,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
